Send a push notification  at : 2018-05-17 08:36:40 | to winner : 00000000-637d-a35e-1475-bf9e0033c587
Selected a new winner  at : 2018-05-17 08:36:43 | winner is : 7F020A2A-9AA0-40E9-AE4A-8CF73AD2B1AE
Send a push notification  at : 2018-05-17 08:36:46 | to winner : 7F020A2A-9AA0-40E9-AE4A-8CF73AD2B1AE
Selected a new winner  at : 2018-05-17 08:36:50 | winner is : 7F020A2A-9AA0-40E9-AE4A-8CF73AD2B1AE
Send a push notification  at : 2018-05-17 08:36:52 | to winner : 7F020A2A-9AA0-40E9-AE4A-8CF73AD2B1AE
Selected a new winner  at : 2018-05-17 08:36:56 | winner is : 6DDB4F82-EDB7-4238-A2CE-BFF62809E1FB
Send a push notification  at : 2018-05-17 08:36:58 | to winner : 6DDB4F82-EDB7-4238-A2CE-BFF62809E1FB
Selected a winner at : 2018-05-17 08:58:20 | winner is : 6DDB4F82-EDB7-4238-A2CE-BFF62809E1FB
Selected a winner at : 2018-05-17 08:58:23 | winner is : 7F020A2A-9AA0-40E9-AE4A-8CF73AD2B1AE
Send a push notification  at : 2018-05-17 08:59:30 | to winner : 7F020A2A-9AA0-40E9-AE4A-8CF73AD2B1AE
Selected a new winner  at : 2018-05-17 08:59:35 | winner is : 6DDB4F82-EDB7-4238-A2CE-BFF62809E1FB
Send a push notification  at : 2018-05-17 08:59:38 | to winner : 6DDB4F82-EDB7-4238-A2CE-BFF62809E1FB
Selected a new winner  at : 2018-05-17 08:59:41 | winner is : 7F020A2A-9AA0-40E9-AE4A-8CF73AD2B1AE
Send a push notification  at : 2018-05-17 08:59:43 | to winner : 7F020A2A-9AA0-40E9-AE4A-8CF73AD2B1AE
Selected a new winner  at : 2018-05-17 08:59:48 | winner is : 6DDB4F82-EDB7-4238-A2CE-BFF62809E1FB
Send a push notification  at : 2018-05-17 08:59:54 | to winner : 6DDB4F82-EDB7-4238-A2CE-BFF62809E1FB
